replicate	case_id	contrast	from_cell	to_cell	top2_before	top2_after	transfer	from_funnel	to_funnel
3	mb65_cml	AA_to_AO	AA	AO	False	True	gain	intergroup_rank_loss	success
3	mb65_cml	AA_to_OA	AA	OA	False	False	stable_miss	intergroup_rank_loss	intergroup_rank_loss
3	mb65_cml	AA_to_OO	AA	OO	False	True	gain	intergroup_rank_loss	success
3	mb66_peliosis	AA_to_AO	AA	AO	False	False	stable_miss	technical_failure	technical_failure
3	mb66_peliosis	AA_to_OA	AA	OA	False	False	stable_miss	technical_failure	technical_failure
3	mb66_peliosis	AA_to_OO	AA	OO	False	False	stable_miss	technical_failure	technical_failure
3	mb77_hyperpara	AA_to_AO	AA	AO	True	True	stable_success	success	success
3	mb77_hyperpara	AA_to_OA	AA	OA	True	True	stable_success	success	success
3	mb77_hyperpara	AA_to_OO	AA	OO	True	True	stable_success	success	success
3	mb82_adhesions	AA_to_AO	AA	AO	False	True	gain	local_champion_miss	success
3	mb82_adhesions	AA_to_OA	AA	OA	False	False	stable_miss	local_champion_miss	local_champion_miss
3	mb82_adhesions	AA_to_OO	AA	OO	False	True	gain	local_champion_miss	success
3	mb83_foreignbody	AA_to_AO	AA	AO	True	True	stable_success	success	success
3	mb83_foreignbody	AA_to_OA	AA	OA	True	True	stable_success	success	success
3	mb83_foreignbody	AA_to_OO	AA	OO	True	True	stable_success	success	success
3	mxh011	AA_to_AO	AA	AO	True	True	stable_success	success	success
3	mxh011	AA_to_OA	AA	OA	True	True	stable_success	success	success
3	mxh011	AA_to_OO	AA	OO	True	True	stable_success	success	success
3	mxh014	AA_to_AO	AA	AO	True	True	stable_success	success	success
3	mxh014	AA_to_OA	AA	OA	True	True	stable_success	success	success
3	mxh014	AA_to_OO	AA	OO	True	True	stable_success	success	success
3	mxh036	AA_to_AO	AA	AO	True	True	stable_success	success	success
3	mxh036	AA_to_OA	AA	OA	True	True	stable_success	success	success
3	mxh036	AA_to_OO	AA	OO	True	True	stable_success	success	success
3	mxh045	AA_to_AO	AA	AO	False	False	stable_miss	gold_absent	gold_absent
3	mxh045	AA_to_OA	AA	OA	False	False	stable_miss	gold_absent	gold_absent
3	mxh045	AA_to_OO	AA	OO	False	False	stable_miss	gold_absent	gold_absent
3	mxh046	AA_to_AO	AA	AO	False	True	gain	local_champion_miss	success
3	mxh046	AA_to_OA	AA	OA	False	False	stable_miss	local_champion_miss	local_champion_miss
3	mxh046	AA_to_OO	AA	OO	False	True	gain	local_champion_miss	success
3	mxh055	AA_to_AO	AA	AO	True	True	stable_success	success	success
3	mxh055	AA_to_OA	AA	OA	True	True	stable_success	success	success
3	mxh055	AA_to_OO	AA	OO	True	True	stable_success	success	success
3	mxh068	AA_to_AO	AA	AO	False	False	stable_miss	gold_absent	gold_absent
3	mxh068	AA_to_OA	AA	OA	False	False	stable_miss	gold_absent	gold_absent
3	mxh068	AA_to_OO	AA	OO	False	False	stable_miss	gold_absent	gold_absent
3	mxh075	AA_to_AO	AA	AO	False	True	gain	intergroup_rank_loss	success
3	mxh075	AA_to_OA	AA	OA	False	True	gain	intergroup_rank_loss	success
3	mxh075	AA_to_OO	AA	OO	False	True	gain	intergroup_rank_loss	success
