experiment_id,label,left_arm,right_arm,multiplicity_family,scope,endpoint,estimand,n_ita_pairs,n_common_served,left_ita_rate,right_ita_rate,ita_delta_right_minus_left,common_served_outcome_gain_n,common_served_outcome_loss_n,common_served_outcome_contribution,right_only_service_positive_n,right_only_service_positive_contribution,left_only_service_positive_n,left_only_service_positive_contribution,decomposition_sum,common_served_conditional_delta,provenance
E6,graph_vs_raw,raw_vignette,typed_event_graph,primary,DA,task,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,123,0.4066666666666667,0.32,-0.08666666666666667,17,18,-0.006666666666666667,1,0.006666666666666667,13,-0.08666666666666667,-0.08666666666666667,-0.008130081300813009,blinded_model_panel_sensitivity_not_root
E6,graph_vs_raw,raw_vignette,typed_event_graph,primary,MCR,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,127,0.3,0.24,-0.06,7,13,-0.04,2,0.013333333333333334,5,-0.03333333333333333,-0.06,-0.047244094488188976,blinded_model_panel_sensitivity_not_root
E6,graph_vs_raw,raw_vignette,typed_event_graph,primary,MCR,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,127,0.12,0.08666666666666667,-0.03333333333333333,1,4,-0.02,2,0.013333333333333334,4,-0.02666666666666667,-0.03333333333333333,-0.023622047244094488,blinded_model_panel_sensitivity_not_root
E6,graph_vs_raw,raw_vignette,typed_event_graph,primary,MCR,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,127,0.42,0.32666666666666666,-0.09333333333333334,7,16,-0.06,4,0.02666666666666667,9,-0.06,-0.09333333333333332,-0.07086614173228346,blinded_model_panel_sensitivity_not_root
E6,graph_vs_raw,raw_vignette,typed_event_graph,primary,MCR,task,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,127,0.23333333333333334,0.19333333333333333,-0.04,7,13,-0.04,2,0.013333333333333334,2,-0.013333333333333334,-0.04,-0.047244094488188976,blinded_model_panel_sensitivity_not_root
E8,invalid_vs_soft,time_scope_soft_veto,time_scope_soft_invalid_time,primary,ALL,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,220,125,0.1590909090909091,0.11363636363636363,-0.045454545454545456,2,2,0.0,0,0.0,10,-0.045454545454545456,-0.045454545454545456,0.0,blinded_model_panel_sensitivity_not_root
E8,invalid_vs_soft,time_scope_soft_veto,time_scope_soft_invalid_time,primary,ALL,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,220,125,0.2863636363636364,0.17727272727272728,-0.10909090909090909,2,5,-0.013636363636363636,0,0.0,21,-0.09545454545454546,-0.1090909090909091,-0.024,blinded_model_panel_sensitivity_not_root
E8,invalid_vs_soft,time_scope_soft_veto,time_scope_soft_invalid_time,primary,ALL,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,220,125,0.44545454545454544,0.2909090909090909,-0.15454545454545454,3,6,-0.013636363636363636,0,0.0,31,-0.1409090909090909,-0.15454545454545454,-0.024,blinded_model_panel_sensitivity_not_root
E8,invalid_vs_soft,time_scope_soft_veto,time_scope_soft_invalid_time,primary,DA,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,58,0.07272727272727272,0.03636363636363636,-0.03636363636363636,0,1,-0.00909090909090909,0,0.0,3,-0.02727272727272727,-0.03636363636363636,-0.017241379310344827,blinded_model_panel_sensitivity_not_root
E8,invalid_vs_soft,time_scope_soft_veto,time_scope_soft_invalid_time,primary,DA,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,58,0.43636363636363634,0.24545454545454545,-0.19090909090909092,1,4,-0.02727272727272727,0,0.0,18,-0.16363636363636364,-0.19090909090909092,-0.05172413793103448,blinded_model_panel_sensitivity_not_root
E8,invalid_vs_soft,time_scope_soft_veto,time_scope_soft_invalid_time,primary,DA,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,58,0.509090909090909,0.2818181818181818,-0.22727272727272727,1,5,-0.03636363636363636,0,0.0,21,-0.19090909090909092,-0.2272727272727273,-0.06896551724137931,blinded_model_panel_sensitivity_not_root
E8,invalid_vs_soft,time_scope_soft_veto,time_scope_soft_invalid_time,primary,DA,task,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,58,0.2,0.1,-0.1,0,1,-0.00909090909090909,0,0.0,10,-0.09090909090909091,-0.1,-0.017241379310344827,blinded_model_panel_sensitivity_not_root
E8,invalid_vs_soft,time_scope_soft_veto,time_scope_soft_invalid_time,primary,MCR,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,67,0.24545454545454545,0.19090909090909092,-0.05454545454545454,2,1,0.00909090909090909,0,0.0,7,-0.06363636363636363,-0.054545454545454536,0.014925373134328358,blinded_model_panel_sensitivity_not_root
E8,invalid_vs_soft,time_scope_soft_veto,time_scope_soft_invalid_time,primary,MCR,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,67,0.13636363636363635,0.10909090909090909,-0.02727272727272727,1,1,0.0,0,0.0,3,-0.02727272727272727,-0.02727272727272727,0.0,blinded_model_panel_sensitivity_not_root
E8,invalid_vs_soft,time_scope_soft_veto,time_scope_soft_invalid_time,primary,MCR,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,67,0.38181818181818183,0.3,-0.08181818181818182,2,1,0.00909090909090909,0,0.0,10,-0.09090909090909091,-0.08181818181818182,0.014925373134328358,blinded_model_panel_sensitivity_not_root
E8,invalid_vs_soft,time_scope_soft_veto,time_scope_soft_invalid_time,primary,MCR,task,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,67,0.3090909090909091,0.24545454545454545,-0.06363636363636363,2,0,0.01818181818181818,0,0.0,9,-0.08181818181818182,-0.06363636363636363,0.029850746268656716,blinded_model_panel_sensitivity_not_root
E8,legal_vs_soft,time_scope_soft_veto,time_scope_soft_legal_order,primary,ALL,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,220,193,0.1590909090909091,0.14545454545454545,-0.013636363636363636,4,7,-0.013636363636363636,0,0.0,0,0.0,-0.013636363636363636,-0.015544041450777202,blinded_model_panel_sensitivity_not_root
E8,legal_vs_soft,time_scope_soft_veto,time_scope_soft_legal_order,primary,ALL,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,220,193,0.2863636363636364,0.2909090909090909,0.004545454545454545,8,7,0.004545454545454545,0,0.0,0,0.0,0.004545454545454545,0.0051813471502590676,blinded_model_panel_sensitivity_not_root
E8,legal_vs_soft,time_scope_soft_veto,time_scope_soft_legal_order,primary,ALL,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,220,193,0.44545454545454544,0.43636363636363634,-0.00909090909090909,8,10,-0.00909090909090909,0,0.0,0,0.0,-0.00909090909090909,-0.010362694300518135,blinded_model_panel_sensitivity_not_root
E8,legal_vs_soft,time_scope_soft_veto,time_scope_soft_legal_order,primary,DA,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,100,0.07272727272727272,0.07272727272727272,0.0,1,1,0.0,0,0.0,0,0.0,0.0,0.0,blinded_model_panel_sensitivity_not_root
E8,legal_vs_soft,time_scope_soft_veto,time_scope_soft_legal_order,primary,DA,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,100,0.43636363636363634,0.44545454545454544,0.00909090909090909,5,4,0.00909090909090909,0,0.0,0,0.0,0.00909090909090909,0.01,blinded_model_panel_sensitivity_not_root
E8,legal_vs_soft,time_scope_soft_veto,time_scope_soft_legal_order,primary,DA,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,100,0.509090909090909,0.5181818181818182,0.00909090909090909,5,4,0.00909090909090909,0,0.0,0,0.0,0.00909090909090909,0.01,blinded_model_panel_sensitivity_not_root
E8,legal_vs_soft,time_scope_soft_veto,time_scope_soft_legal_order,primary,DA,task,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,100,0.2,0.24545454545454545,0.045454545454545456,7,2,0.045454545454545456,0,0.0,0,0.0,0.045454545454545456,0.05,blinded_model_panel_sensitivity_not_root
E8,legal_vs_soft,time_scope_soft_veto,time_scope_soft_legal_order,primary,MCR,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,93,0.24545454545454545,0.21818181818181817,-0.02727272727272727,3,6,-0.02727272727272727,0,0.0,0,0.0,-0.02727272727272727,-0.03225806451612903,blinded_model_panel_sensitivity_not_root
E8,legal_vs_soft,time_scope_soft_veto,time_scope_soft_legal_order,primary,MCR,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,93,0.13636363636363635,0.13636363636363635,0.0,3,3,0.0,0,0.0,0,0.0,0.0,0.0,blinded_model_panel_sensitivity_not_root
