experiment_id,label,scope,endpoint,panel_delta,panel_sign,panel_holm_adjusted_p,panel_holm_significant,reviewer_a_delta,reviewer_b_delta,reviewer_c_delta,reviewer_delta_min,reviewer_delta_max,reviewer_delta_range,all_reviewers_same_direction,all_reviewers_and_panel_same_direction,reviewer_holm_significant_n,panel_and_all_reviewers_holm_robust_same_direction,provenance
E1,options_vs_clean_shuffled__ab02_flat,DA,complete_or_compatible_partial,0.2,positive,0.004928371869027615,True,0.25,0.23,0.25,0.23,0.25,0.01999999999999999,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_shuffled__ab02_flat,MCR,clinical_complete,0.26,positive,3.698933869600296e-05,True,0.32,0.27,0.28,0.27,0.32,0.04999999999999999,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_shuffled__ab02_flat,MCR,compatible_partial,-0.04,negative,1.0,False,-0.06,0.0,-0.04,-0.06,0.0,0.06,False,False,0,False,model_reviewer_perturbation_not_root
E1,options_vs_clean_shuffled__ab02_flat,MCR,complete_or_compatible_partial,0.22,positive,0.0007855499834477087,True,0.26,0.27,0.24,0.24,0.27,0.030000000000000027,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_shuffled__aphhm_hierarchical,ALL,clinical_complete,0.28,positive,3.05915522762026e-10,True,0.305,0.29,0.265,0.265,0.305,0.03999999999999998,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_shuffled__aphhm_hierarchical,ALL,compatible_partial,-0.08,negative,0.2011178204785835,False,-0.12,-0.08,-0.065,-0.12,-0.065,0.05499999999999999,True,True,1,False,model_reviewer_perturbation_not_root
E1,options_vs_clean_shuffled__aphhm_hierarchical,ALL,complete_or_compatible_partial,0.2,positive,3.207531953354585e-05,True,0.185,0.21,0.2,0.185,0.21,0.024999999999999994,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_shuffled__aphhm_hierarchical,DA,clinical_complete,0.31,positive,1.6765807231422514e-06,True,0.35,0.35,0.31,0.31,0.35,0.03999999999999998,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_shuffled__aphhm_hierarchical,DA,compatible_partial,-0.11,negative,0.4476553946733475,False,-0.17,-0.13,-0.1,-0.17,-0.1,0.07,True,True,1,False,model_reviewer_perturbation_not_root
E1,options_vs_clean_shuffled__aphhm_hierarchical,DA,complete_or_compatible_partial,0.2,positive,0.01443623987142928,True,0.18,0.22,0.21,0.18,0.22,0.04000000000000001,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_shuffled__aphhm_hierarchical,MCR,clinical_complete,0.25,positive,0.00035127392038702965,True,0.26,0.23,0.22,0.22,0.26,0.04000000000000001,True,True,3,True,model_reviewer_perturbation_not_root
E1,options_vs_clean_shuffled__aphhm_hierarchical,MCR,compatible_partial,-0.05,negative,1.0,False,-0.07,-0.03,-0.03,-0.07,-0.03,0.04000000000000001,True,True,0,False,model_reviewer_perturbation_not_root
E1,options_vs_clean_shuffled__aphhm_hierarchical,MCR,complete_or_compatible_partial,0.2,positive,0.005966214812360704,True,0.19,0.2,0.19,0.19,0.2,0.010000000000000009,True,True,3,True,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_clean__ab02_flat,ALL,clinical_complete,0.04,positive,0.5263957469724119,False,0.01,0.03,0.035,0.01,0.035,0.025,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_clean__ab02_flat,ALL,compatible_partial,-0.035,negative,1.0,False,-0.04,-0.035,-0.055,-0.055,-0.035,0.019999999999999997,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_clean__ab02_flat,ALL,complete_or_compatible_partial,0.005,positive,1.0,False,-0.03,-0.005,-0.02,-0.03,-0.005,0.024999999999999998,True,False,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_clean__ab02_flat,DA,clinical_complete,0.04,positive,1.0,False,0.01,0.03,0.04,0.01,0.04,0.03,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_clean__ab02_flat,DA,compatible_partial,-0.03,negative,1.0,False,-0.07,-0.04,-0.06,-0.07,-0.04,0.030000000000000006,True,True,0,False,model_reviewer_perturbation_not_root
