endpoint,left_reviewer,right_reviewer,n,observed_agreement,expected_agreement,cohen_kappa
fine_relation,reviewer_a,reviewer_b,3407,0.7202817728206633,0.23575419966609948,0.6339944203067557
clinical_complete,reviewer_a,reviewer_b,3407,0.928676254769592,0.7402141467234236,0.7254517737173533
complete_or_compatible_partial,reviewer_a,reviewer_b,3407,0.906369239800411,0.5029106238481194,0.8116420010332687
fine_relation,reviewer_a,reviewer_c,3407,0.6404461402993836,0.22458940651978707,0.536305200465653
clinical_complete,reviewer_a,reviewer_c,3407,0.9213384208981509,0.7424060634500577,0.6946295392065713
complete_or_compatible_partial,reviewer_a,reviewer_c,3407,0.882301144702084,0.5055921315332674,0.7619397610662507
fine_relation,reviewer_b,reviewer_c,3407,0.7094217786909305,0.22942337419058761,0.6229080774363657
clinical_complete,reviewer_b,reviewer_c,3407,0.9509832697387731,0.75267661866757,0.8018111753237638
complete_or_compatible_partial,reviewer_b,reviewer_c,3407,0.9060757264455532,0.5097365538878716,0.808420810690085
