reviewer_id,experiment_id,arm_id,endpoint,n_ita,n_served,positive_n,rate_ita,provenance
reviewer_a,E11,off_refine_on,complete_or_compatible_partial,400,400,194,0.485,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E11,random_refine_off,clinical_complete,400,400,49,0.1225,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E11,random_refine_off,compatible_partial,400,400,131,0.3275,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E11,random_refine_off,complete_or_compatible_partial,400,400,180,0.45,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E11,random_refine_on,clinical_complete,400,400,52,0.13,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E11,random_refine_on,compatible_partial,400,400,135,0.3375,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E11,random_refine_on,complete_or_compatible_partial,400,400,187,0.4675,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E11,relevant_refine_off,clinical_complete,400,400,49,0.1225,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E11,relevant_refine_off,compatible_partial,400,400,132,0.33,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E11,relevant_refine_off,complete_or_compatible_partial,400,400,181,0.4525,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E11,relevant_refine_on,clinical_complete,400,400,50,0.125,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E11,relevant_refine_on,compatible_partial,400,400,139,0.3475,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E11,relevant_refine_on,complete_or_compatible_partial,400,400,189,0.4725,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k10_first,clinical_complete,300,300,29,0.09666666666666666,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k10_first,compatible_partial,300,300,89,0.2966666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k10_first,complete_or_compatible_partial,300,300,118,0.3933333333333333,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k10_pairwise,clinical_complete,300,256,29,0.09666666666666666,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k10_pairwise,compatible_partial,300,256,90,0.3,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k10_pairwise,complete_or_compatible_partial,300,256,119,0.39666666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k10_pointwise,clinical_complete,300,252,28,0.09333333333333334,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k10_pointwise,compatible_partial,300,252,85,0.2833333333333333,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k10_pointwise,complete_or_compatible_partial,300,252,113,0.37666666666666665,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k5_first,clinical_complete,300,300,29,0.09666666666666666,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k5_first,compatible_partial,300,300,89,0.2966666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k5_first,complete_or_compatible_partial,300,300,118,0.3933333333333333,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k5_pairwise,clinical_complete,300,258,29,0.09666666666666666,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k5_pairwise,compatible_partial,300,258,93,0.31,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k5_pairwise,complete_or_compatible_partial,300,258,122,0.4066666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k5_pointwise,clinical_complete,300,257,31,0.10333333333333333,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k5_pointwise,compatible_partial,300,257,88,0.29333333333333333,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,graph_k5_pointwise,complete_or_compatible_partial,300,257,119,0.39666666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_depth1_k10_pairwise,clinical_complete,300,299,38,0.12666666666666668,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_depth1_k10_pairwise,compatible_partial,300,299,112,0.37333333333333335,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_depth1_k10_pairwise,complete_or_compatible_partial,300,299,150,0.5,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_depth2_k10_pairwise,clinical_complete,300,300,39,0.13,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_depth2_k10_pairwise,compatible_partial,300,300,114,0.38,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_depth2_k10_pairwise,complete_or_compatible_partial,300,300,153,0.51,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k10_first,clinical_complete,300,300,29,0.09666666666666666,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k10_first,compatible_partial,300,300,89,0.2966666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k10_first,complete_or_compatible_partial,300,300,118,0.3933333333333333,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k10_pairwise,clinical_complete,300,298,41,0.13666666666666666,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k10_pairwise,compatible_partial,300,298,119,0.39666666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k10_pairwise,complete_or_compatible_partial,300,298,160,0.5333333333333333,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k10_pointwise,clinical_complete,300,298,39,0.13,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k10_pointwise,compatible_partial,300,298,106,0.35333333333333333,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k10_pointwise,complete_or_compatible_partial,300,298,145,0.48333333333333334,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k5_first,clinical_complete,300,300,29,0.09666666666666666,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k5_first,compatible_partial,300,300,89,0.2966666666666667,individual_blinded_model_reviewer_sensitivity_not_root
