arm,case_id,mapper_mode,top1,historical_top1,delta_top1
A,mb11_pancoast,historical_oracle_assisted,0.3333333333333333,0.3333333333333333,0.0
A,mb11_pancoast,deterministic_gold_blind,0.3333333333333333,0.3333333333333333,0.0
A,mb34_leukemoid,historical_oracle_assisted,1.0,1.0,0.0
A,mb34_leukemoid,deterministic_gold_blind,1.0,1.0,0.0
ALL_B_b1,mb11_pancoast,historical_oracle_assisted,1.0,1.0,0.0
ALL_B_b1,mb11_pancoast,deterministic_gold_blind,1.0,1.0,0.0
ALL_B_b1,mb34_leukemoid,historical_oracle_assisted,1.0,1.0,0.0
ALL_B_b1,mb34_leukemoid,deterministic_gold_blind,1.0,1.0,0.0
