case_id	cohort	preset	compiler_rules_injected	n_selected	selected_budget	stop_reason	parent_source	acceptable_parents	n_acceptable_parents	gold_leaf_ids	family_coverage	family_top1	family_top2	family_rr	gold_family_rank	l1_top1_id	l1_top2_id	n_l1	l1_prior_opt1	l1_prior_opt2	l1_prior_rr	joint_remap_opt1	joint_remap_opt2	mapper_opt1	mapper_opt2	mapper_rr	funnel_bucket
211	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B2|B3	2	B2.3|B3.2	1	0	0	0.25	4	B4	B1	5	0	0	0.25	1	1	1	1	1.0	L1_HIT_MISRANK
214	remain76	p5_anti_anchor_direct	True	4	6	selector_abstained	mapper_leaf_parent	B1|B2|B3	3	B1.4|B2.2|B3.4	1	1	1	1.0	1	B1	B4	4	1	1	1.0	0	1	0	1	0.5	L1_OK_OPTION_HIT
216	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4	4	B1.1|B2.4|B3.2|B4.1	1	1	1	1.0	1	B1	B4	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
219	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1|B2|B3|B4|B5	5	B1.1|B2.1|B3.1|B4.1|B5.1	1	1	1	1.0	1	B4	B5	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
220	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4	4	B1.1|B2.1|B3.1|B4.2	1	1	1	1.0	1	B2	B1	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
225	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B4	3	B1.1|B2.2|B4.1	1	1	1	1.0	1	B1	B2	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
226	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	none		0		0	0	0	0.0		B1	B2	4	0	0	0.0	0	0	0	0	0.0	L1_MISS
227	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B2	1	B2.2	1	1	1	1.0	1	B2	B3	5	1	1	1.0	0	0	1	1	1.0	L1_OK_OPTION_HIT
228	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1|B2|B4	3	B1.1|B2.1|B4.1	1	1	1	1.0	1	B1	B4	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
229	remain76	p5_anti_anchor_direct	True	6	6	budget_exhausted	none		0		0	0	0	0.0		B1	B5	5	0	0	0.0	0	0	0	0	0.0	L1_MISS
231	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	none		0		0	0	0	0.0		B1	B2	5	0	0	0.0	0	0	0	0	0.0	L1_MISS
233	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1	1	B1.2	1	1	1	1.0	1	B1	B2	5	1	1	1.0	0	0	0	1	0.5	L1_OK_OPTION_HIT
237	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B3|B4|B5	4	B1.1|B3.1|B4.1|B5.1	1	1	1	1.0	1	B1	B3	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
241	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	none		0		0	0	0	0.0		B1	B4	4	0	0	0.0	0	0	0	0	0.0	L1_MISS
242	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	none		0		0	0	0	0.0		B1	B2	5	0	0	0.0	0	0	0	0	0.0	L1_MISS
243	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	mapper_leaf_parent	B1|B2|B4	3	B1.2|B2.3|B4.2	1	1	1	1.0	1	B1	B2	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
246	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	mapper_leaf_parent	B3	1	B3.3	1	0	0	0.333333	3	B1	B2	4	0	0	0.333333	0	0	0	1	0.5	L1_HIT_MISRANK
249	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B2	1	B2.2	1	1	1	1.0	1	B2	B3	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
