case_id	cohort	preset	compiler_rules_injected	n_selected	selected_budget	stop_reason	parent_source	acceptable_parents	n_acceptable_parents	gold_leaf_ids	family_coverage	family_top1	family_top2	family_rr	gold_family_rank	l1_top1_id	l1_top2_id	n_l1	l1_prior_opt1	l1_prior_opt2	l1_prior_rr	joint_remap_opt1	joint_remap_opt2	mapper_opt1	mapper_opt2	mapper_rr	funnel_bucket
76	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B5	1	B5.2	1	0	0	0.333333	3	B4	B1	5	0	0	0.333333	1	1	1	1	1.0	L1_HIT_MISRANK
81	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B3	1	B3.3	1	0	1	0.5	2	B1	B3	5	0	1	0.5	1	1	1	1	1.0	L1_OK_OPTION_MISS
83	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	mapper_leaf_parent	B3	1	B3.3	1	0	0	0.333333	3	B1	B2	5	0	0	0.333333	0	0	0	0	0.333333	L1_HIT_MISRANK
87	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4	4	B1.2|B2.2|B3.2|B4.2	1	1	1	1.0	1	B1	B2	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
89	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B3|B4	2	B3.3|B4.1	1	0	0	0.333333	3	B1	B2	4	0	0	0.333333	1	1	1	1	1.0	L1_HIT_MISRANK
90	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1	1	B1.3	1	1	1	1.0	1	B1	B3	5	1	1	1.0	0	0	0	1	0.5	L1_OK_OPTION_HIT
95	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4|B5	5	B1.1|B2.1|B3.1|B4.1|B5.1	1	1	1	1.0	1	B1	B2	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
97	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	none		0		0	0	0	0.0		B1	B2	5	0	0	0.0	0	0	0	0	0.0	L1_MISS
99	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4	4	B1.1|B2.3|B3.3|B4.2	1	1	1	1.0	1	B1	B4	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
100	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1|B3	2	B1.2|B3.2	1	1	1	1.0	1	B1	B2	5	1	1	1.0	0	0	0	1	0.5	L1_OK_OPTION_HIT
102	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1|B3|B4	3	B1.1|B3.1|B4.1	1	1	1	1.0	1	B1	B2	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
103	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4|B5	5	B1.3|B2.3|B3.1|B4.3|B5.1	1	1	1	1.0	1	B1	B3	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
107	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	none		0		0	0	0	0.0		B1	B2	4	0	0	0.0	0	0	0	0	0.0	L1_MISS
111	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1|B2|B3|B4|B5	5	B1.2|B2.2|B3.2|B4.2|B5.2	1	1	1	1.0	1	B2	B1	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
114	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	none		0		0	0	0	0.0		B1	B4	5	0	0	0.0	0	0	0	0	0.0	L1_MISS
117	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1	1	B1.1	1	1	1	1.0	1	B1	B4	5	1	1	1.0	0	0	0	1	0.5	L1_OK_OPTION_HIT
118	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	mapper_leaf_parent	B1	1	B1.1	1	1	1	1.0	1	B1	B2	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
119	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	mapper_leaf_parent	B2|B4|B5	3	B2.5|B4.4|B5.3	1	0	1	0.5	2	B1	B2	5	0	1	0.5	1	1	1	1	1.0	L1_OK_OPTION_MISS
120	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	mapper_leaf_parent	B1|B2|B4|B5	4	B1.3|B2.3|B4.3|B5.3	1	1	1	1.0	1	B1	B2	5	1	1	1.0	0	1	0	1	0.5	L1_OK_OPTION_HIT
122	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B2	1	B2.1	1	1	1	1.0	1	B2	B4	4	1	1	1.0	0	0	0	1	0.5	L1_OK_OPTION_HIT
124	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1	1	B1.2	1	1	1	1.0	1	B1	B4	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
125	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	none		0		0	0	0	0.0		B2	B4	5	0	0	0.0	0	0	0	0	0.0	L1_MISS
128	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B3|B4	2	B3.3|B4.3	1	0	1	0.5	2	B1	B4	4	0	1	0.5	1	1	1	1	1.0	L1_OK_OPTION_MISS
129	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	none		0		0	0	0	0.0		B1	B3	5	0	0	0.0	0	0	0	0	0.0	L1_MISS
132	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1|B4	2	B1.1|B4.3	1	1	1	1.0	1	B1	B3	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
134	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1|B2|B3|B4|B5	5	B1.1|B2.3|B3.1|B4.1|B5.1	1	1	1	1.0	1	B1	B5	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
137	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4	4	B1.2|B2.1|B3.2|B4.2	1	1	1	1.0	1	B1	B2	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
139	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4	4	B1.3|B2.3|B3.2|B4.3	1	1	1	1.0	1	B1	B3	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
140	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B2|B3|B4	3	B2.3|B3.1|B4.2	1	1	1	1.0	1	B2	B3	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
147	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4|B5	5	B1.1|B2.1|B3.1|B4.1|B5.1	1	1	1	1.0	1	B1	B2	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
149	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B2|B4|B5	3	B2.1|B4.1|B5.1	1	0	1	0.5	2	B1	B2	5	0	1	0.5	0	0	1	1	1.0	L1_OK_OPTION_MISS
150	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B4	1	B4.3	1	1	1	1.0	1	B4	B1	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
151	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B4	3	B1.1|B2.3|B4.1	1	0	1	0.5	2	B3	B1	4	0	1	0.5	0	1	0	1	0.5	L1_OK_OPTION_MISS
156	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B2	1	B2.3	1	0	0	0.333333	3	B3	B1	5	0	0	0.333333	1	1	1	1	1.0	L1_HIT_MISRANK
158	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B5	4	B1.2|B2.2|B3.2|B5.2	1	1	1	1.0	1	B1	B2	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
161	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4|B5	5	B1.3|B2.3|B3.4|B4.1|B5.1	1	1	1	1.0	1	B3	B2	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
163	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B3|B5	3	B1.3|B3.3|B5.3	1	1	1	1.0	1	B3	B1	5	1	1	1.0	0	1	0	1	0.5	L1_OK_OPTION_HIT
164	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4|B5	5	B1.1|B2.1|B3.1|B4.2|B5.1	1	1	1	1.0	1	B3	B1	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
165	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B4	1	B4.2	1	1	1	1.0	1	B4	B1	4	1	1	1.0	0	0	0	1	0.5	L1_OK_OPTION_HIT
167	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B4	3	B1.1|B2.1|B4.1	1	1	1	1.0	1	B1	B2	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
173	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B3|B4|B5	3	B3.1|B4.1|B5.1	1	0	0	0.333333	3	B1	B2	5	0	0	0.333333	0	0	0	1	0.5	L1_HIT_MISRANK
174	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4|B5	5	B1.2|B2.2|B3.2|B4.2|B5.2	1	1	1	1.0	1	B1	B3	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
177	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B3|B4|B5	3	B3.4|B4.1|B5.1	1	0	0	0.333333	3	B1	B2	5	0	0	0.333333	0	1	0	1	0.5	L1_HIT_MISRANK
181	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1|B3	2	B1.3|B3.4	1	1	1	1.0	1	B3	B1	5	1	1	1.0	0	0	1	1	1.0	L1_OK_OPTION_HIT
182	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4	4	B1.3|B2.3|B3.3|B4.3	1	1	1	1.0	1	B1	B2	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
183	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	none		0		0	0	0	0.0		B1	B2	4	0	0	0.0	0	0	0	0	0.0	L1_MISS
186	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B3	3	B1.3|B2.2|B3.2	1	1	1	1.0	1	B3	B1	5	1	1	1.0	0	1	0	1	0.5	L1_OK_OPTION_HIT
187	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	none		0		0	0	0	0.0		B1	B3	5	0	0	0.0	0	0	0	0	0.0	L1_MISS
188	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	none		0		0	0	0	0.0		B1	B2	5	0	0	0.0	0	0	0	0	0.0	L1_MISS
190	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1|B2|B3|B4|B5	5	B1.3|B2.2|B3.2|B4.4|B5.4	1	1	1	1.0	1	B1	B2	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
194	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B4	4	B1.2|B2.2|B3.2|B4.2	1	1	1	1.0	1	B1	B2	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
198	remain76	p5_anti_anchor_direct	True	0	6	selector_abstained	none		0		0	0	0	0.0		B1	B2	5	0	0	0.0	0	0	0	0	0.0	L1_MISS
202	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B2|B3|B4	3	B2.1|B3.1|B4.2	1	0	1	0.5	2	B1	B2	4	0	1	0.5	1	1	1	1	1.0	L1_OK_OPTION_MISS
205	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1	1	B1.4	1	0	1	0.5	2	B3	B1	4	0	1	0.5	0	0	0	1	0.5	L1_OK_OPTION_MISS
206	remain76	p5_anti_anchor_direct	True	6	6	selector_abstained	mapper_leaf_parent	B1|B2|B3|B5	4	B1.2|B2.1|B3.1|B5.2	1	1	1	1.0	1	B1	B4	5	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
207	remain76	p5_anti_anchor_direct	True	6	6	pool_exhausted	mapper_leaf_parent	B1|B2|B3|B4	4	B1.1|B2.1|B3.1|B4.1	1	1	1	1.0	1	B1	B3	4	1	1	1.0	1	1	1	1	1.0	L1_OK_OPTION_HIT
