family,contrast,left_arm,right_arm,endpoint,analysis_scope,status,n,both,left_only,right_only,neither,delta_right_minus_left,exact_mcnemar_p,holm_family,holm_adjusted_p
MCR,A3-A2,A2_views_typed,A3_full,clinical_complete,common_served_sensitivity,sensitivity_only,381,93,4,5,279,0.0026246719160104987,1.0,,
MCR,A1-A0,A0_control,A1_views,complete_or_compatible_partial,ITA,evaluated,400,143,24,32,201,0.02,0.3496819529836849,MCR/complete_or_compatible_partial,1.0
MCR,A2-A1,A1_views,A2_views_typed,complete_or_compatible_partial,ITA,evaluated,400,157,18,18,207,0.0,1.0,MCR/complete_or_compatible_partial,1.0
MCR,A3-A0,A0_control,A3_full,complete_or_compatible_partial,ITA,evaluated,400,148,19,29,204,0.025,0.19341265286193732,MCR/complete_or_compatible_partial,0.7736506114477493
MCR,A3-A2,A2_views_typed,A3_full,complete_or_compatible_partial,ITA,evaluated,400,158,17,19,206,0.005,0.8679394004284404,MCR/complete_or_compatible_partial,1.0
MCR,B1-A3,A3_full,B1_corelift,complete_or_compatible_partial,ITA,confirmatory_withheld_gate_failure,,,,,,,,MCR/complete_or_compatible_partial,
MCR,A1-A0,A0_control,A1_views,complete_or_compatible_partial,common_served_sensitivity,sensitivity_only,383,143,19,28,193,0.02349869451697128,0.24296021728332562,,
MCR,A2-A1,A1_views,A2_views_typed,complete_or_compatible_partial,common_served_sensitivity,sensitivity_only,385,157,16,14,198,-0.005194805194805195,0.855535551905632,,
MCR,A3-A0,A0_control,A3_full,complete_or_compatible_partial,common_served_sensitivity,sensitivity_only,381,148,16,25,192,0.023622047244094488,0.21102359760880063,,
MCR,A3-A2,A2_views_typed,A3_full,complete_or_compatible_partial,common_served_sensitivity,sensitivity_only,381,158,13,15,195,0.005249343832020997,0.8505540192127228,,
MCR,A1-A0,A0_control,A1_views,official_task,ITA,evaluated,400,110,17,29,244,0.03,0.10380535550410741,MCR/official_task,0.519026777520537
MCR,A2-A1,A1_views,A2_views_typed,official_task,ITA,evaluated,400,121,18,10,251,-0.02,0.1849333420395851,MCR/official_task,0.7397333681583405
MCR,A3-A0,A0_control,A3_full,official_task,ITA,evaluated,400,106,21,24,249,0.0075,0.765991824244793,MCR/official_task,1.0
MCR,A3-A2,A2_views_typed,A3_full,official_task,ITA,evaluated,400,119,12,11,258,-0.0025,1.0,MCR/official_task,1.0
MCR,B1-A3,A3_full,B1_corelift,official_task,ITA,evaluated,400,109,21,13,257,-0.02,0.22948101302608848,MCR/official_task,0.7397333681583405
MCR,A1-A0,A0_control,A1_views,official_task,common_served_sensitivity,sensitivity_only,383,110,13,25,235,0.031331592689295036,0.07295138851623051,,
MCR,A2-A1,A1_views,A2_views_typed,official_task,common_served_sensitivity,sensitivity_only,385,121,16,6,242,-0.025974025974025976,0.052478790283203125,,
MCR,A3-A0,A0_control,A3_full,official_task,common_served_sensitivity,sensitivity_only,381,106,18,20,237,0.005249343832020997,0.8714146793645341,,
MCR,A3-A2,A2_views_typed,A3_full,official_task,common_served_sensitivity,sensitivity_only,381,119,8,9,245,0.0026246719160104987,1.0,,
MCR,B1-A3,A3_full,B1_corelift,official_task,common_served_sensitivity,sensitivity_only,385,109,19,11,246,-0.02077922077922078,0.20048842206597328,,
