case_id	cohort	compat_branch	compat_opt1	compat_opt2	compat_rr	typed_opt1	typed_opt2	typed_rr	typed_cov	typed_status	n_leaves	n_extra	inject_mode	resumed	error
151	remain76	calib_only	0	1	0.5	0	1	0.5	1	OK	15	11	preserve_joint_then_posterior	0	
156	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	20	19	preserve_joint_then_posterior	0	
158	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	19	17	preserve_joint_then_posterior	0	
161	remain76	merge_only	1	1	1.0	0	0	0.3333333333333333	1	OK	19	18	preserve_joint_then_posterior	0	
163	remain76	calib_only	1	1	1.0	0	1	0.5	1	OK	20	15	preserve_joint_then_posterior	0	
164	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	20	19	preserve_joint_then_posterior	0	
165	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	16	15	preserve_joint_then_posterior	0	
167	remain76	merge_only	1	1	1.0	0	0	0.3333333333333333	1	OK	16	15	preserve_joint_then_posterior	0	
173	remain76	calib_only	0	1	0.5	0	0	0.25	1	OK	20	15	preserve_joint_then_posterior	0	
174	remain76	merge_only	1	1	1.0	0	1	0.5	1	OK	20	19	preserve_joint_then_posterior	0	
177	remain76	merge_only	0	1	0.5	0	1	0.5	1	OK	19	17	preserve_joint_then_posterior	0	
181	remain76	merge_only	1	1	1.0	0	0	0.3333333333333333	1	OK	18	15	preserve_joint_then_posterior	0	
182	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	16	15	preserve_joint_then_posterior	0	
183	remain76	merge_only	0	0	0.0	0	0	0.3333333333333333	1	OK	18	16	preserve_joint_then_posterior	0	
186	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	20	18	preserve_joint_then_posterior	0	
187	remain76	merge_only	0	0	0.0	1	1	1.0	1	OK	17	16	preserve_joint_then_posterior	0	
188	remain76	merge_only	0	0	0.0	0	0	0.0	0	OK	20	17	preserve_joint_then_posterior	0	
190	remain76	merge_only	1	1	1.0	0	0	0.3333333333333333	1	OK	18	17	preserve_joint_then_posterior	0	
194	remain76	merge_only	1	1	1.0	0	0	0.0	0	OK	16	15	preserve_joint_then_posterior	0	
198	remain76	merge_only	0	0	0.0	0	0	0.0	0	OK	18	17	preserve_joint_then_posterior	0	
202	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	16	15	preserve_joint_then_posterior	0	
205	remain76	merge_only	0	1	0.5	0	1	0.5	1	OK	16	14	preserve_joint_then_posterior	0	
206	remain76	merge_only	1	1	1.0	0	1	0.5	1	OK	20	18	preserve_joint_then_posterior	0	
207	remain76	merge_only	1	1	1.0	0	0	0.3333333333333333	1	OK	16	15	preserve_joint_then_posterior	0	
211	remain76	merge_only	1	1	1.0	0	1	0.5	1	OK	19	18	preserve_joint_then_posterior	0	
214	remain76	calib_only	1	1	1.0	1	1	1.0	1	OK	16	12	preserve_joint_then_posterior	0	
216	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	15	14	preserve_joint_then_posterior	0	
219	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	19	18	preserve_joint_then_posterior	0	
220	remain76	merge_only	1	1	1.0	0	0	0.3333333333333333	1	OK	16	15	preserve_joint_then_posterior	0	
225	remain76	merge_only	1	1	1.0	0	0	0.3333333333333333	1	OK	14	13	preserve_joint_then_posterior	0	
226	remain76	merge_only	0	0	0.0	0	0	0.3333333333333333	1	OK	16	14	preserve_joint_then_posterior	0	
227	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	20	18	preserve_joint_then_posterior	0	
228	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	16	14	preserve_joint_then_posterior	0	
229	remain76	merge_only	0	0	0.0	1	1	1.0	1	OK	20	18	preserve_joint_then_posterior	0	
231	remain76	merge_only	0	0	0.0	0	0	0.0	0	OK	16	14	preserve_joint_then_posterior	0	
233	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	16	15	preserve_joint_then_posterior	0	
237	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	20	18	preserve_joint_then_posterior	0	
241	remain76	merge_only	0	0	0.0	0	0	0.0	0	OK	16	13	preserve_joint_then_posterior	0	
242	remain76	merge_only	0	0	0.0	0	1	0.5	1	OK	20	18	preserve_joint_then_posterior	0	
243	remain76	merge_only	1	1	1.0	1	1	1.0	1	OK	15	13	preserve_joint_then_posterior	0	
246	remain76	merge_only	1	1	1.0	0	0	0.25	1	OK	16	14	preserve_joint_then_posterior	0	
249	remain76	calib_only	1	1	1.0	1	1	1.0	1	OK	19	14	preserve_joint_then_posterior	0	
