case_id,cohort,arm,opt1,opt2,rr,option_rank,best_rank,official_opt1,official_opt2,official_rr,reverted,swapped,n_merge_clusters,route_path,n_synthetic,subdivided_parents,pool_pre,pool_post
81,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,subdivide,4,B3.3,"B3.3.L31,B3.3.L32,B3.3.L33,B3.3.L34,B1.1","B3.3.L31,B3.3.L32,B3.3.L33,B3.3.L34,B1.1"
83,remain76,subdivide,0,0,0.3333333333333333,3,4,0,0,0.3333333333333333,0,0,,calibrate_only,,,"B1.2,B4.3,B2.3,B3.3,B5.4","B1.2,B4.3,B2.3,B3.3,B5.4"
87,remain76,subdivide,0,0,0.3333333333333333,3,15,1,1,1.0,0,0,,subdivide,16,"B3.2,B1.2,B4.2,B2.2","B3.2.L31,B3.2.L32,B3.2.L33,B3.2.L34,B1.2.L31","B3.2.L31,B3.2.L32,B3.2.L33,B3.2.L34,B1.2.L31"
89,remain76,subdivide,0,0,0.3333333333333333,3,6,1,1,1.0,0,0,,subdivide,6,"B1.1,B2.1","B3.3,B1.1.L31,B1.1.L32,B1.1.L33,B2.1.L31","B3.3,B1.1.L31,B1.1.L32,B1.1.L33,B2.1.L31"
90,remain76,subdivide,0,1,0.5,2,5,0,1,0.5,0,0,,subdivide,3,B1.3,"B5.1,B3.1,B2.2,B4.1,B1.3.L31","B5.1,B3.1,B2.2,B4.1,B1.3.L31"
95,remain76,subdivide,1,1,1.0,1,13,1,1,1.0,0,0,,subdivide,15,"B1.1,B4.1,B3.1,B2.1,B5.1","B1.1.L31,B1.1.L32,B1.1.L33,B4.1.L31,B4.1.L32","B1.1.L31,B1.1.L32,B1.1.L33,B4.1.L31,B4.1.L32"
97,remain76,subdivide,0,0,0.0,1,,0,0,0.0,0,0,,calibrate_only,,,,
99,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B4.2,B2.3,B3.3,B1.1","B4.2,B2.3,B3.3,B1.1"
100,remain76,subdivide,0,1,0.5,2,3,0,1,0.5,0,0,,calibrate_only,,,"B5.1,B4.1,B3.2,B1.2,B2.1","B5.1,B4.1,B3.2,B1.2,B2.1"
102,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B4.1,B2.2,B1.1,B3.1","B4.1,B2.2,B1.1,B3.1"
103,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B2.3,B5.1,B1.3,B3.1,B4.3","B2.3,B5.1,B1.3,B3.1,B4.3"
107,remain76,subdivide,0,0,0.0,2,,0,0,0.0,0,0,,calibrate_only,,,"B2.1,B1.1,B3.1,B4.1","B2.1,B1.1,B3.1,B4.1"
111,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B2.2,B1.2,B5.2,B3.2,B4.2","B2.2,B1.2,B5.2,B3.2,B4.2"
114,remain76,subdivide,0,0,0.0,2,,0,0,0.0,0,0,,calibrate_only,,,"B5.3,B1.1,B2.3,B3.2,B4.3","B5.3,B1.1,B2.3,B3.2,B4.3"
117,remain76,subdivide,0,1,0.5,2,5,0,1,0.5,0,0,,subdivide,3,B1.1,"B4.1,B5.2,B2.2,B3.5,B1.1.L31","B4.1,B5.2,B2.2,B3.5,B1.1.L31"
