endpoint,scope,left,right,n,left_only,right_only,delta_right_minus_left,slice_stratified_case_bootstrap_ci95,bootstrap_ci_multiplicity_status,exact_mcnemar_p,holm_adjusted_p_within_endpoint_family,endpoint_multiplicity_family_n,coherent_family_holm_p,coherent_multiplicity_family
legacy_chain,MCR,collapse3c,impc,400,27,33,0.015,"[-0.0225, 0.0525]",unadjusted,0.5189580031896518,1.0,30,,
legacy_chain,ALL,e7,v0,800,34,27,-0.00875,"[-0.02875, 0.01]",unadjusted,0.4426260049464714,1.0,30,0.8852520098929428,legacy_chain_overall_10
legacy_chain,DA,e7,v0,400,24,13,-0.0275,"[-0.0575, 0.0025]",unadjusted,0.09887174959294498,1.0,30,,
legacy_chain,MCR,e7,v0,400,10,14,0.01,"[-0.0125, 0.035]",unadjusted,0.5412561893463135,1.0,30,,
legacy_chain,ALL,forest,e7,800,85,34,-0.06375,"[-0.09125, -0.0375]",unadjusted,3.283757237397982e-06,9.851271712193945e-05,30,3.283757237397982e-05,legacy_chain_overall_10
legacy_chain,DA,forest,e7,400,51,20,-0.0775,"[-0.1175, -0.0375]",unadjusted,0.00030316341355849296,0.0075790853389623245,30,,
legacy_chain,MCR,forest,e7,400,34,14,-0.05,"[-0.0825, -0.0175]",unadjusted,0.005515201485501109,0.1268496341665255,30,,
legacy_chain,ALL,forest,B06,800,47,28,-0.02375,"[-0.045, -0.0025]",unadjusted,0.03695490402736831,0.6068626604383098,30,0.14781961610947325,legacy_chain_overall_10
legacy_chain,DA,forest,B06,400,26,12,-0.035,"[-0.065, -0.005]",unadjusted,0.03355243967962451,0.6039439142332412,30,,
legacy_chain,MCR,forest,B06,400,21,16,-0.0125,"[-0.0425, 0.0175]",unadjusted,0.5113757815852296,1.0,30,,
legacy_chain,ALL,B06,e7,800,69,37,-0.04,"[-0.065, -0.015]",unadjusted,0.0024400083793490387,0.05856020110437693,30,0.01708005865544327,legacy_chain_overall_10
legacy_chain,DA,B06,e7,400,39,22,-0.0425,"[-0.08, -0.005]",unadjusted,0.03961701489849968,0.6068626604383098,30,,
legacy_chain,MCR,B06,e7,400,30,15,-0.0375,"[-0.07, -0.005]",unadjusted,0.035697803555194696,0.6068626604383098,30,,
legacy_chain,ALL,B07,e7,800,61,53,-0.01,"[-0.03625, 0.01625]",unadjusted,0.5122548722298448,1.0,30,0.8852520098929428,legacy_chain_overall_10
legacy_chain,DA,B07,e7,400,33,29,-0.01,"[-0.0475, 0.03]",unadjusted,0.7035366713552734,1.0,30,,
legacy_chain,MCR,B07,e7,400,28,24,-0.01,"[-0.045, 0.025]",unadjusted,0.6778086391424605,1.0,30,,
legacy_chain,ALL,B07,B06,800,33,57,0.03,"[0.0075, 0.05375]",unadjusted,0.014866752945626244,0.31220181185815116,30,0.07433376472813122,legacy_chain_overall_10
legacy_chain,DA,B07,B06,400,21,34,0.0325,"[-0.005, 0.0675]",unadjusted,0.10478948242660335,1.0,30,,
legacy_chain,MCR,B07,B06,400,12,23,0.0275,"[0.0, 0.055]",unadjusted,0.0895310789346695,1.0,30,,
legacy_chain,ALL,forest,lite,800,50,27,-0.02875,"[-0.05, -0.0075]",unadjusted,0.01167272102438307,0.25679986253642756,30,0.07003632614629843,legacy_chain_overall_10
legacy_chain,DA,forest,lite,400,28,19,-0.0225,"[-0.055, 0.01]",unadjusted,0.24296021728332562,1.0,30,,
legacy_chain,MCR,forest,lite,400,22,8,-0.035,"[-0.0625, -0.01]",unadjusted,0.016124801710247993,0.32249603420495987,30,,
clinical_complete,ALL,collapse3c,multistance,800,22,21,-0.00125,"[-0.0175, 0.015]",unadjusted,1.0,1.0,30,1.0,clinical_complete_overall_10
clinical_complete,DA,collapse3c,multistance,400,6,8,0.005,"[-0.0125, 0.025]",unadjusted,0.79052734375,1.0,30,1.0,clinical_complete_DA_10
clinical_complete,MCR,collapse3c,multistance,400,16,13,-0.0075,"[-0.035, 0.0175]",unadjusted,0.711071103811264,1.0,30,1.0,clinical_complete_MCR_10
clinical_complete,ALL,collapse3c,forest,800,37,22,-0.01875,"[-0.0375, 0.0]",unadjusted,0.06744461190078899,1.0,30,0.6070015071071009,clinical_complete_overall_10
clinical_complete,DA,collapse3c,forest,400,7,6,-0.0025,"[-0.02, 0.015]",unadjusted,1.0,1.0,30,1.0,clinical_complete_DA_10
clinical_complete,MCR,collapse3c,forest,400,30,16,-0.035,"[-0.0675, -0.0025]",unadjusted,0.054076031858869555,1.0,30,0.486684286729826,clinical_complete_MCR_10
clinical_complete,ALL,collapse3c,impc,800,49,25,-0.03,"[-0.05, -0.00875]",unadjusted,0.007084252673880493,0.2054433275425343,30,0.07084252673880494,clinical_complete_overall_10
clinical_complete,DA,collapse3c,impc,400,10,8,-0.005,"[-0.025, 0.015]",unadjusted,0.8145294189453125,1.0,30,1.0,clinical_complete_DA_10
clinical_complete,MCR,collapse3c,impc,400,39,17,-0.055,"[-0.0925, -0.0175]",unadjusted,0.00456153274640822,0.1368459823922466,30,0.0456153274640822,clinical_complete_MCR_10
clinical_complete,ALL,e7,v0,800,21,11,-0.0125,"[-0.02625, 0.00125]",unadjusted,0.11018416518345475,1.0,30,0.881473321467638,clinical_complete_overall_10
clinical_complete,DA,e7,v0,400,9,3,-0.015,"[-0.0325, 0.0]",unadjusted,0.14599609375,1.0,30,1.0,clinical_complete_DA_10
clinical_complete,MCR,e7,v0,400,12,8,-0.01,"[-0.0325, 0.0125]",unadjusted,0.5034446716308594,1.0,30,1.0,clinical_complete_MCR_10
clinical_complete,ALL,forest,e7,800,30,36,0.0075,"[-0.0125, 0.0275]",unadjusted,0.5385827752459464,1.0,30,1.0,clinical_complete_overall_10
clinical_complete,DA,forest,e7,400,8,9,0.0025,"[-0.0175, 0.0225]",unadjusted,1.0,1.0,30,1.0,clinical_complete_DA_10
clinical_complete,MCR,forest,e7,400,22,27,0.0125,"[-0.0225, 0.0475]",unadjusted,0.5681724128491652,1.0,30,1.0,clinical_complete_MCR_10
clinical_complete,ALL,forest,B06,800,26,24,-0.0025,"[-0.02, 0.015]",unadjusted,0.887724827340783,1.0,30,1.0,clinical_complete_overall_10
clinical_complete,DA,forest,B06,400,9,4,-0.0125,"[-0.03, 0.005]",unadjusted,0.266845703125,1.0,30,1.0,clinical_complete_DA_10
clinical_complete,MCR,forest,B06,400,17,20,0.0075,"[-0.0225, 0.0375]",unadjusted,0.7428293587290682,1.0,30,1.0,clinical_complete_MCR_10
clinical_complete,ALL,B06,e7,800,28,36,0.01,"[-0.01, 0.03]",unadjusted,0.38173279479333766,1.0,30,1.0,clinical_complete_overall_10
clinical_complete,DA,B06,e7,400,5,11,0.015,"[-0.005, 0.035]",unadjusted,0.210113525390625,1.0,30,1.0,clinical_complete_DA_10
clinical_complete,MCR,B06,e7,400,23,25,0.005,"[-0.03, 0.04]",unadjusted,0.8854334972865132,1.0,30,1.0,clinical_complete_MCR_10
clinical_complete,ALL,B07,e7,800,26,38,0.015,"[-0.00375, 0.035]",unadjusted,0.16864291143970336,1.0,30,1.0,clinical_complete_overall_10
clinical_complete,DA,B07,e7,400,7,10,0.0075,"[-0.0125, 0.0275]",unadjusted,0.629058837890625,1.0,30,1.0,clinical_complete_DA_10
clinical_complete,MCR,B07,e7,400,19,28,0.0225,"[-0.01, 0.055]",unadjusted,0.24296021728332562,1.0,30,1.0,clinical_complete_MCR_10
clinical_complete,ALL,B07,B06,800,28,32,0.005,"[-0.01375, 0.02375]",unadjusted,0.6988834276200057,1.0,30,1.0,clinical_complete_overall_10
clinical_complete,DA,B07,B06,400,9,6,-0.0075,"[-0.0275, 0.01]",unadjusted,0.60723876953125,1.0,30,1.0,clinical_complete_DA_10
clinical_complete,MCR,B07,B06,400,19,26,0.0175,"[-0.015, 0.05]",unadjusted,0.3712980344710104,1.0,30,1.0,clinical_complete_MCR_10
