family,endpoint,arm,repetitions,mean_rank,median_rank,rank_interval95,p_tied_for_first,p_unique_first
MCR,legacy_chain,e7,10000,8.00075,8.5,"[4.5, 9.0]",0.0003,0.0
MCR,legacy_chain,v0,10000,6.5491,7.0,"[2.5, 9.0]",0.007,0.0041
MCR,legacy_chain,B06,10000,2.65195,2.5,"[1.0, 6.0]",0.1879,0.1415
MCR,legacy_chain,B07,10000,6.7054,7.0,"[3.0, 9.0]",0.0012,0.0003
MCR,task,collapse3c,10000,1.57555,1.0,"[1.0, 4.5]",0.69,0.6179
MCR,task,multistance,10000,2.6427,2.0,"[1.0, 6.0]",0.1897,0.1392
MCR,task,lite,10000,6.53855,7.0,"[2.5, 9.0]",0.0079,0.0053
MCR,task,forest,10000,4.9968,5.0,"[1.5, 8.0]",0.0303,0.0212
MCR,task,impc,10000,8.0583,8.5,"[5.0, 9.0]",0.0009,0.0004
MCR,task,e7,10000,5.32195,5.5,"[1.5, 8.5]",0.035,0.0238
MCR,task,v0,10000,7.2466,8.0,"[3.5, 9.0]",0.0019,0.0013
MCR,task,B06,10000,3.58345,3.0,"[1.0, 7.0]",0.0959,0.0698
MCR,task,B07,10000,5.0361,5.0,"[1.0, 9.0]",0.0452,0.0322
